"Component  ","Description  ","Line length  ","R (per km) propagation mode or sequence data [3] ","L (per km) propagation mode or sequence data [3] ","C (per km) propagation mode or sequence data [3] ","Base power  ","Base voltage  ","Base frequency  ","EMTP (.pun) file for line parameters calculation ","Continuously transposed line ","Transformation matrix Untransposed line [9] ","L-C units in EMTP (.pun) file "
line_3116_to_3542_1,0.0,9429.022237710624000,[1.879318988265926 0.1879318988265926 0.1879318988265926],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.323180887061184e-009 1.064636177412237e-008 1.064636177412237e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3117_to_3120_1,0.0,216663.9624635276000,[2.4370148367757 0.24370148367757 0.24370148367757],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[5.352384632652897e-009 1.070476926530579e-008 1.070476926530579e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3117_to_3492_1,0.0,77650.32018622333000,[1.281497929720723 0.1281497929720724 0.1281497929720724],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.46129696550244e-009 1.092259393100488e-008 1.092259393100488e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3123_to_3473_1,0.0,9839.284238185151000,[0.8543462929038833 0.08543462929038834 0.08543462929038834],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.536411552640904e-009 1.307282310528181e-008 1.307282310528181e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3123_to_3633_1,0.0,3038.491337697497000,[0.8504295625762753 0.08504295625762753 0.08504295625762753],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.469296267869649e-009 1.29385925357393e-008 1.29385925357393e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3128_to_3291_1,0.0,1643.444657080543000,[2.609838085381145 0.2609838085381145 0.2609838085381145],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[3.276931778652993e-009 6.553863557305986e-009 6.553863557305986e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3128_to_3486_1,0.0,238713.4903502623000,[2.656184506264762 0.2656184506264763 0.2656184506264763],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.404270139648495e-009 1.080854027929699e-008 1.080854027929699e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3129_to_3342_1,0.0,17515.55027531041000,[2.519325107087414 0.2519325107087414 0.2519325107087414],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.345078280422564e-009 1.069015656084513e-008 1.069015656084513e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3129_to_3467_1,0.0,25762.43803780141000,[2.239218176182466 0.2239218176182466 0.2239218176182466],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[4.924897607308534e-009 9.849795214617067e-009 9.849795214617067e-009],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3131_to_3519_1,0.0,2969.04737594544000,[1.58286928430342 0.158286928430342 0.158286928430342],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[5.454545981525924e-009 1.090909196305185e-008 1.090909196305185e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3131_to_3534_1,0.0,4216.481547515352000,[1.470266771543252 0.1470266771543252 0.1470266771543252],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.401350576778262e-009 1.080270115355652e-008 1.080270115355652e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3134_to_3340_1,0.0,4658.239850749014000,[2.078068669687929 0.2078068669687929 0.2078068669687929],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.528309852481908e-009 1.105661970496382e-008 1.105661970496382e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3134_to_3633_1,0.0,7545.903329902265000,[1.598866578417639 0.159886657841764 0.159886657841764],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.314400066186281e-009 1.262880013237256e-008 1.262880013237256e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3134_to_3633_2,0.0,7629.636659770721000,[1.51289923572671 0.151289923572671 0.151289923572671],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.048742482443131e-009 1.209748496488626e-008 1.209748496488626e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3137_to_3261_1,0.0,117270.3124446825000,[2.598312150318246 0.2598312150318245 0.2598312150318245],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.455301056577679e-009 1.091060211315536e-008 1.091060211315536e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3137_to_3261_2,0.0,114460.2734564004000,[2.643582980777161 0.2643582980777162 0.2643582980777162],[0.004774648292756861 0.001591549430918954 0.001591549430918954],[5.661360779740428e-009 1.132272155948086e-008 1.132272155948086e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3140_to_3486_2,0.0,9467.248069274278000,[1.540463204627759 0.1540463204627759 0.1540463204627759],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.905486447064585e-009 1.181097289412917e-008 1.181097289412917e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3140_to_3643_2,0.0,5110.418699383979000,[1.999528701918672 0.1999528701918672 0.1999528701918672],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[4.91061658309946e-009 9.821233166198921e-009 9.821233166198921e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3141_to_3486_1,0.0,9298.644298234461000,[1.737726272753768 0.1737726272753768 0.1737726272753768],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.034815383756969e-009 1.206963076751394e-008 1.206963076751394e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3141_to_3643_1,0.0,4884.695067147343000,[1.823953479914115 0.1823953479914114 0.1823953479914114],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.679624859134478e-009 1.135924971826896e-008 1.135924971826896e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3142_to_3270_1,0.0,2388.072355269347000,[1.946555779837671 0.1946555779837671 0.1946555779837671],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.066866683881713e-009 1.413373336776343e-008 1.413373336776343e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3142_to_3283_1,0.0,2335.299842912982000,[1.932009437243423 0.1932009437243423 0.1932009437243423],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[7.135962121832601e-009 1.42719242436652e-008 1.42719242436652e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3142_to_3310_1,0.0,6396.546947126137000,[2.056104567363348 0.2056104567363348 0.2056104567363348],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[7.166411306969758e-009 1.433282261393952e-008 1.433282261393952e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3143_to_3523_2,0.0,1804.122899561017000,[1.863844457221098 0.1863844457221098 0.1863844457221098],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.346135793305712e-007 2.692271586611424e-007 2.692271586611424e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3144_to_3523_1,0.0,1916.347982402538000,[1.78689767391075 0.178689767391075 0.178689767391075],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.229597937365929e-007 2.459195874731857e-007 2.459195874731857e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3146_to_3209_1,0.0,4957.200334312494000,[0.9716942573476701 0.097169425734767 0.097169425734767],[0.004774648292756861 0.001591549430918954 0.001591549430918954],[5.50419309003162e-009 1.100838618006324e-008 1.100838618006324e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3147_to_3401_1,0.0,1765.192202264233000,[3.222525184339547 0.3222525184339547 0.3222525184339547],[0.004774648292756861 0.001591549430918954 0.001591549430918954],[6.451784220537189e-009 1.290356844107438e-008 1.290356844107438e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3148_to_3486_1,0.0,80021.76742498726000,[2.541188094683462 0.2541188094683463 0.2541188094683463],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.07601132631934e-009 1.015202265263868e-008 1.015202265263868e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3149_to_3492_1,0.0,876.9866679311925000,[2.153039524755807 0.2153039524755807 0.2153039524755807],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.296484018770631e-009 1.059296803754126e-008 1.059296803754126e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3150_to_3151_1,0.0,11022.34703595837000,[2.415716580693087 0.2415716580693086 0.2415716580693086],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.200326834579572e-009 1.040065366915914e-008 1.040065366915914e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3152_to_3510_1,0.0,31654.0382985577000,[2.512567914195779 0.2512567914195779 0.2512567914195779],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.539812316888621e-009 1.107962463377724e-008 1.107962463377724e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3153_to_3482_1,0.0,9428.011576648439000,[2.388493776577409 0.2388493776577409 0.2388493776577409],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.640753820678157e-009 1.128150764135631e-008 1.128150764135631e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3157_to_3216_1,0.0,6858.140679413081000,[0.8374203934526563 0.08374203934526563 0.08374203934526563],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.247612700108405e-008 2.49522540021681e-008 2.49522540021681e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3157_to_3533_1,0.0,905.3933459135695000,[0.7976304008748816 0.07976304008748816 0.07976304008748816],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.168642463637343e-008 2.337284927274686e-008 2.337284927274686e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3158_to_3612_1,0.0,11336.31901209596000,[0.2921256963441042 0.02921256963441042 0.02921256963441042],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[3.271339771133372e-008 6.542679542266745e-008 6.542679542266745e-008],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3158_to_3613_2,0.0,11253.01804707775000,[0.3124878767188747 0.03124878767188746 0.03124878767188746],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[3.192100279606421e-008 6.384200559212842e-008 6.384200559212842e-008],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3158_to_3624_1,0.0,82894.12610002387000,[0.3252360750149382 0.03252360750149382 0.03252360750149382],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[8.627155796451323e-009 1.725431159290265e-008 1.725431159290265e-008],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3158_to_3624_2,0.0,78548.62483829761000,[0.3514792206945194 0.03514792206945194 0.03514792206945194],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[9.290138402200145e-009 1.858027680440029e-008 1.858027680440029e-008],33333333.33333333,158771.3240271471,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3160_to_3483_1,0.0,23228.16631113121000,[2.467050222610161 0.2467050222610161 0.2467050222610161],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.34297425901334e-009 1.068594851802668e-008 1.068594851802668e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3161_to_3162_1,0.0,21969.03849579116000,[2.476017606795013 0.2476017606795013 0.2476017606795013],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.016248790712711e-009 1.003249758142542e-008 1.003249758142542e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3161_to_3285_1,0.0,8717.810007684871000,[1.365144023008638 0.1365144023008638 0.1365144023008638],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.954341776752477e-009 1.190868355350495e-008 1.190868355350495e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3161_to_3483_1,0.0,57226.26281229954000,[1.347170985212639 0.1347170985212639 0.1347170985212639],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.675458197606349e-009 1.13509163952127e-008 1.13509163952127e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3163_to_3385_1,0.0,9171.503365800127000,[2.038289002099815 0.2038289002099815 0.2038289002099815],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.610994098670659e-008 3.221988197341318e-008 3.221988197341318e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3163_to_3471_1,0.0,20206.49315152545000,[1.90443029709283 0.190443029709283 0.190443029709283],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.538631457823985e-009 1.107726291564797e-008 1.107726291564797e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3163_to_3504_1,0.0,9921.14651380543000,[1.028822512458182 0.1028822512458182 0.1028822512458182],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[9.524224702138179e-009 1.904844940427636e-008 1.904844940427636e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3163_to_3504_2,0.0,10653.33460624818000,[0.9769494629886489 0.09769494629886491 0.09769494629886491],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[8.748813661931613e-009 1.749762732386323e-008 1.749762732386323e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3163_to_3635_1,0.0,6034.302518637857000,[2.308472966466689 0.2308472966466688 0.2308472966466688],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.870960449077677e-009 1.174192089815535e-008 1.174192089815535e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3165_to_3166_1,0.0,1462.153484007866000,[2.421732381323602 0.2421732381323602 0.2421732381323602],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.136545203979812e-009 1.027309040795962e-008 1.027309040795962e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3167_to_3168_1,0.0,12472.05751354919000,[2.660734282963221 0.2660734282963221 0.2660734282963221],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.833768311494683e-009 1.166753662298937e-008 1.166753662298937e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3167_to_3492_1,0.0,29514.82563118945000,[1.197118810927952 0.1197118810927952 0.1197118810927952],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.201280308719401e-009 1.04025606174388e-008 1.04025606174388e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3170_to_3491_2,0.0,9403.625277102428000,[1.347901847812071 0.1347901847812071 0.1347901847812071],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[7.67409191294735e-009 1.53481838258947e-008 1.53481838258947e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3171_to_3491_1,0.0,9489.602240249427000,[1.355821079379766 0.1355821079379766 0.1355821079379766],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.578505617395695e-009 1.515701123479139e-008 1.515701123479139e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3172_to_3246_1,0.0,33010.84149956426000,[1.534681791304185 0.1534681791304185 0.1534681791304185],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.029037364695421e-009 1.205807472939084e-008 1.205807472939084e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
